Source,Domain,Base Domain,Canonical URL,Live,Redirect,Redirect To
EoT,accfaaaccess.ed.gov,ed.gov,http://accfaaaccess.ed.gov,True,False,
Censys,account-fqt.etc.uspto.gov,uspto.gov,https://account-fqt.etc.uspto.gov,True,False,
Censys,account-pvt.etc.uspto.gov,uspto.gov,https://account-pvt.etc.uspto.gov,True,False,
Censys,account-reg.pppl.gov,pppl.gov,http://account-reg.pppl.gov,True,False,
EoT,account.uspto.gov,uspto.gov,https://account.uspto.gov,True,False,
Censys,accounts.ahrq.gov,ahrq.gov,https://accounts.ahrq.gov,True,False,
Censys,accounts.ioc.uscg.gov,uscg.gov,https://accounts.ioc.uscg.gov,True,False,
Censys,accpiv.treasury.gov,treasury.gov,http://accpiv.treasury.gov,True,False,
Censys,accqpub.usaid.gov,usaid.gov,http://accqpub.usaid.gov,True,False,
EoT,accra.usembassy.gov,usembassy.gov,http://accra.usembassy.gov,True,False,
EoT,accrualnet.cancer.gov,cancer.gov,https://accrualnet.cancer.gov,True,False,
EoT,accs.njwg.cap.gov,cap.gov,http://accs.njwg.cap.gov,True,False,
Censys,accsso.treas.gov,treas.gov,https://accsso.treas.gov,True,False,
Censys,accsso.treasury.gov,treasury.gov,https://accsso.treasury.gov,True,False,
EoT,accweb.gsfc.nasa.gov,nasa.gov,https://accweb.gsfc.nasa.gov,True,False,
EoT,accweb.nascom.nasa.gov,nasa.gov,https://accweb.nascom.nasa.gov,True,False,
EoT,acd-ext.gsfc.nasa.gov,nasa.gov,https://acd-ext.gsfc.nasa.gov,True,False,
EoT,acd.od.nih.gov,nih.gov,https://acd.od.nih.gov,True,False,
EoT,acdb-ext.gsfc.nasa.gov,nasa.gov,http://acdb-ext.gsfc.nasa.gov,True,False,
EoT,acdb-pub.gsfc.nasa.gov,nasa.gov,http://acdb-pub.gsfc.nasa.gov,True,False,
EoT,acdb.gsfc.nasa.gov,nasa.gov,http://acdb.gsfc.nasa.gov,True,False,
EoT,acdc.nist.gov,nist.gov,http://www.acdc.nist.gov,True,False,
EoT,acdisc.gesdisc.eosdis.nasa.gov,nasa.gov,https://acdisc.gesdisc.eosdis.nasa.gov,True,False,
EoT,acdisc.gsfc.nasa.gov,nasa.gov,http://acdisc.gsfc.nasa.gov,True,False,
EoT,acdisc.sci.gsfc.nasa.gov,nasa.gov,http://acdisc.sci.gsfc.nasa.gov,True,False,
EoT,ace.cbp.dhs.gov,dhs.gov,http://ace.cbp.dhs.gov,True,False,
EoT,acebasin.fws.gov,fws.gov,http://acebasin.fws.gov,True,False,
Censys,acedashboard.cbp.dhs.gov,dhs.gov,https://acedashboard.cbp.dhs.gov,True,False,
EoT,acemission.gsfc.nasa.gov,nasa.gov,https://acemission.gsfc.nasa.gov,True,False,
EoT,aces.msfc.nasa.gov,nasa.gov,http://aces.msfc.nasa.gov,True,False,
EoT,aces.nsstc.nasa.gov,nasa.gov,http://aces.nsstc.nasa.gov,True,False,
Censys,aces.sandia.gov,sandia.gov,https://aces.sandia.gov,True,False,
EoT,acetool.commerce.gov,commerce.gov,http://acetool.commerce.gov,True,False,
EoT,acetool.my.commerce.gov,commerce.gov,http://acetool.my.commerce.gov,True,False,
Censys,acf-gposign.gpo.gov,gpo.gov,http://acf-gposign.gpo.gov,True,False,
Censys,acf-ocsp-responder.ois.gpo.gov,gpo.gov,http://acf-ocsp-responder.ois.gpo.gov,True,False,
EoT,acf.hhs.gov,hhs.gov,https://www.acf.hhs.gov,True,False,
Censys,acfeoffice.acf.hhs.gov,hhs.gov,https://acfeoffice.acf.hhs.gov,True,False,
Censys,acfms1.usaid.gov,usaid.gov,http://acfms1.usaid.gov,True,False,
Censys,acfms2.usaid.gov,usaid.gov,http://acfms2.usaid.gov,True,False,
EoT,ach.fcc.gov,fcc.gov,https://ach.fcc.gov,True,False,
Censys,achadmin.fcc.gov,fcc.gov,http://achadmin.fcc.gov,True,False,
